id	filename	md5	size	state
26e791c1-3713-4993-b1b6-f28836f28179	67c28a4b-ecb1-461b-846e-e797697c34bc.rna_seq.star_gene_counts.tsv.gz	d94510399270dff7b3dfed7b31b09664	407919	released
4b6b95eb-c199-40a7-a2ca-557d9895bc05	b470498d-8201-4cda-9c1f-99ab15865bde.rna_seq.star_gene_counts.tsv.gz	0788ba0313eaf7486cd1bcecb6375500	423480	released
a4e850e7-2f97-4efe-b22d-7a5f506d2798	9e6c3ef2-53c8-49b0-92fe-8163e498d52a.rna_seq.star_gene_counts.tsv.gz	edd0d0aaa02834371fa51db582a283cc	421703	released
c2ea4d2a-fd92-44e1-aa4d-093dd1a20e32	aeba5f26-0d8f-4dd1-9ea7-cdedce3e92b3.rna_seq.star_gene_counts.tsv.gz	598a4d028100a913d3dd1234b3efafa7	417069	released
ca6f7a25-8542-43ca-80ec-b1d581daf779	d00229ed-f810-4a5b-afb8-a7bf97eefa61.rna_seq.star_gene_counts.tsv.gz	6bc6c1c4f027afae95e626ad283ccad1	424777	released
ea338ad5-54ad-4067-9034-5ef9cd4c9e12	0e0dc784-216f-4e3a-8f5f-8ad7d27bc328.rna_seq.star_gene_counts.tsv.gz	d140544c27ffd701d9135932a9277063	423513	released
8f7988df-9b02-4b56-a4e5-5a6a71a0969e	82b3da7f-b8fa-428c-9cf7-439092c2f7bc.rna_seq.star_gene_counts.tsv.gz	cb937461ecc3739e8ba350fa95dff20f	419381	released
a8e3bb8c-e89f-40ea-8a91-3ffae664280f	1a82e949-995c-4cbe-870a-d69495d51d32.rna_seq.star_gene_counts.tsv.gz	5bfedf07306a362a831a5148b2c2d039	419571	released
6f3b703d-17e4-4b3d-8bf8-9204c01072a9	a111d320-887d-42ad-8872-525ea51e7504.rna_seq.star_gene_counts.tsv.gz	2c7c13d65ff43caae17382d30d6934b7	428048	released
66111c28-4ebc-42c6-8e9a-28c5bd88e2e5	a2815fdd-a7e1-4263-9f70-be7b661e6892.rna_seq.star_gene_counts.tsv.gz	897925282d38a1a5aeba8d61599964db	414044	released
3a428fd0-8c31-4902-a4c6-b6e00ddbd98a	200ffb4a-5cb3-4206-a3c2-a623392af699.rna_seq.star_gene_counts.tsv.gz	d093ebda23b6691391d27893533c6e11	421349	released
01b77964-f078-4092-a1f0-93663e0b6082	94b14697-41af-4573-af49-1ad776b4a8a6.rna_seq.star_gene_counts.tsv.gz	c8f166b17feb8afc32029bf08f1742d3	422874	released
b41faa1a-39c3-4cfa-81ec-67b49c956105	b4a4cc2b-77f6-41d4-bb6c-669c593c592d.rna_seq.star_gene_counts.tsv.gz	5997539b491564f9899ac94da715e0c8	427321	released
08e04ca3-9677-457a-9635-fa191371a5b0	7df66027-4133-4cc7-967e-e5b17469ba7e.rna_seq.star_gene_counts.tsv.gz	240878eba8db09c59c338fa5e4f5a9bf	422336	released
58be8253-dfcb-46f5-8850-3e3daed572ee	f9b8795b-ca69-4317-b511-fe190703da18.rna_seq.star_gene_counts.tsv.gz	34c6cb7132846e891637a65fd5382938	419278	released
13f2b3a2-f1e5-46ef-b379-3ece7292a64c	e266d050-2ee3-4192-b098-9ac213496a13.rna_seq.star_gene_counts.tsv.gz	bc05b7f2fa1fb542c9d96557165907f7	426758	released
1ffc03ec-c2fd-4e3b-9351-71ee6ec2f04e	f10e47a8-3c98-4f11-9b38-e7ab99c72ab8.rna_seq.star_gene_counts.tsv.gz	85bfe19bf08f6c71b38c50b8c07b3012	401144	released
ecfc12f7-1ae0-4e1c-952f-e87615968323	ae8eac37-dda4-48c7-9f50-649c334bbe5b.rna_seq.star_gene_counts.tsv.gz	7986021e0473fcef8b85cd46abe0943c	421451	released
4e388a58-59f5-4f76-8c7d-902748dec4e3	a6ac0638-e01b-4b55-84af-d2ce6be0c73a.rna_seq.star_gene_counts.tsv.gz	67d000c780439e868d0d9c5ef4689931	406261	released
542cb953-512e-447e-bad9-1067a00c5908	12435cdf-c925-409c-87d0-66a478520ec2.rna_seq.star_gene_counts.tsv.gz	7563affe230f118c8e3bec6ef570d727	412978	released
995e27c1-62af-4fe5-bd91-7cfe485ed6ab	b30e59bc-dfa6-4df1-bb1f-1741d2fb0602.rna_seq.star_gene_counts.tsv.gz	aa92d195d180a0a9d656d13f1981cea6	421122	released
4914de86-fef1-4386-8299-9e4018e2e3f4	c715d1d4-cb35-4f86-b0ad-967a2e934fca.rna_seq.star_gene_counts.tsv.gz	d203743b1da0d817f1ba86ea29516d93	405016	released
69c0b340-98b2-4c4c-bca3-360f028d6fdf	b25e7e41-36ef-4e8f-be78-d3a59f9df061.rna_seq.star_gene_counts.tsv.gz	6853bf957467f843a9c0761718dfaaef	424602	released
cf1be7c6-ec69-4fc0-b9b3-8474d1d7b92d	4d0b9121-ba7a-4ec3-9b1a-c919b965aa89.rna_seq.star_gene_counts.tsv.gz	ff5eb965e99a3a545af03e44095b0547	390652	released
cf0c4333-1fa4-4253-acd4-36dd5f72b779	ad405667-1e3e-458f-81ac-07b34c24b891.rna_seq.star_gene_counts.tsv.gz	74526938f9d1cf4249db603ed8b21821	410832	released
f47f6b14-0b31-4f31-a010-db97638ed831	00d0d7aa-5782-4bdf-a13e-e08ec09ea9bb.rna_seq.star_gene_counts.tsv.gz	00e65a087ef9ea1147bd9fb32397a152	389708	released
d0c996a8-a2e1-4479-abe5-ebae1fbac866	540401a7-41b9-450d-8a07-fcca2c9d942d.rna_seq.star_gene_counts.tsv.gz	41379e80f0d860486ff8d0292bb3815c	403788	released
fff72b21-e71c-4858-ab4e-1f6c79e58e79	170bf7b4-b636-4a60-82b0-421b0ed49bcf.rna_seq.star_gene_counts.tsv.gz	c4cee634fd3a93e7ae4a586764c1d709	406612	released
6e8fd112-5591-4b88-9c34-edeba03535f1	593b74fc-9cd2-4783-a795-ecf9ac77928d.rna_seq.star_gene_counts.tsv.gz	b1a0b3b8c4e4f4d45361178b4c2c1e8c	411854	released
d64778b0-e821-4447-a40a-b63e6cfacb2a	9807e708-f04d-4a2e-aa17-7d543eaba1ad.rna_seq.star_gene_counts.tsv.gz	fa7476228234be15adc4dc2011b4b1e2	410582	released
804ab608-4bd6-42a6-8e4f-7ced772d8638	86f3bfae-36c3-42ec-b639-6ee0bda811cf.rna_seq.star_gene_counts.tsv.gz	507b671f56a7312a3546b238fc05a309	415521	released
497c7e35-3fab-4618-bd48-36cd5562d8f0	f817870f-7db8-44cb-aa36-97e9701fc0b7.rna_seq.star_gene_counts.tsv.gz	627839ce696eab3b1d7dbbdda54cf1b3	420554	released
19cb30dc-9191-4448-a9f2-74949310c599	2f68fb66-cbff-4714-bdbb-fa15324d190f.rna_seq.star_gene_counts.tsv.gz	5d885ebe494bb89e1d987a4c555fd7d8	414534	released
40b45770-3001-4c53-8f24-b79a1a5781f2	ad070968-e6bf-4565-8b4b-2ebdb82e64a0.rna_seq.star_gene_counts.tsv.gz	6e04b99266969d1ff4ce0aefc5c77447	403205	released
addb874e-c357-46ab-b5d9-14dced88639a	72843144-5c79-482c-9307-ae76a69c3007.rna_seq.star_gene_counts.tsv.gz	b77ed32f6ea826de1d962047fdb3e18d	423711	released
f918ada5-3111-4a70-b3ec-585131bd4221	39cbd516-d9f1-45af-9e80-20e86cc0a497.rna_seq.star_gene_counts.tsv.gz	ff8490194a75a895d238b24108f12152	407845	released
5f9326d1-13b0-40aa-bb8f-81896ec70b50	9fff39bc-24b3-46ef-985a-0b3280f9dd89.rna_seq.star_gene_counts.tsv.gz	52dd6ebe2f8a8d8f7ce52657bfaec287	418620	released
c1f71f00-46e7-4835-82f5-e1bdeaf97280	26d8cb9f-5596-4903-bfd4-1d71607b1e41.rna_seq.star_gene_counts.tsv.gz	38008b3d0eddfef594d7ac30f4ef0aa3	423768	released
2629338f-8e34-4f9f-b9ff-bcf9d80fb64d	55939c37-fde9-4df7-8b35-8f8a3359c6da.rna_seq.star_gene_counts.tsv.gz	13b5370885eb1d45f93d58887f9fe04d	415657	released
4b73ca97-cbb2-47c3-a7da-ad6556d76b0c	b51e6ebd-7d26-4a49-8db4-fd14c5680041.rna_seq.star_gene_counts.tsv.gz	52a7c4c0b4e9614b9fe5e78c42768ad6	389468	released
73efa5c9-4111-4080-8088-00abd2f6c713	844a7795-53f1-4836-a218-087197438f64.rna_seq.star_gene_counts.tsv.gz	5959d184aa210ce33e67ff69e9d71049	391040	released
8084e17c-70b7-4186-8beb-0eb9ba8d5e92	d8b40d70-05fd-4a5d-b8fc-508d7b4f815c.rna_seq.star_gene_counts.tsv.gz	d79f4f3c7282f7512448a19ba0fdf753	381464	released
